time stock-price decision number-of-stocks portfolio-value
570 198.455 -1 50 30000.0
571 198 -5 100 29977.25
572 198.36 -3 150 30013.250000000004
573 198.49 -1 150 30032.75
574 198.36 1 100 30013.25
575 197.725 1 50 29949.75
576 197.81 -1 100 29954.0
577 197.94 -1 150 29967.0
578 198.43 1 100 30040.5
579 198.65 3 50 30062.5
580 198.8 5 0 30070.0
581 198.76 3 0 30070.0
582 198.7 1 0 30070.0
583 198.46 -1 50 30070.0
584 198.29 -3 100 30061.5
585 198.44 -3 150 30076.5
586 198.47 -1 150 30081.0
587 198.5 3 100 30085.5
588 198.53 5 50 30088.5
589 198.24 1 0 30074.0
590 197.7 -1 50 30074.0
591 197.71 -3 100 30074.5
592 197.68 -5 150 30071.5
593 197.38 -5 150 30026.5
594 197.5 -3 150 30044.5
595 197.52 -1 150 30047.5
596 197.51 -1 150 30046.0
597 197.61 3 100 30061.0
598 197.765 5 50 30076.5
599 197.51 3 0 30063.75
600 197.21 -1 50 30063.75
601 197.24 -3 100 30065.25
602 197.45 -1 150 30086.25
603 197.65 1 100 30116.25
604 197.51 3 50 30102.25
605 197.25 1 0 30089.25
606 197.18 -3 50 30089.25
607 197.12 -5 100 30086.25
608 197.09 -5 150 30083.25
609 196.91 -5 150 30056.25
610 196.73 -5 150 30029.25
611 196.86 -3 150 30048.750000000004
612 196.6 -5 150 30009.75
613 196.61 -3 150 30011.250000000004
614 196.07 -1 150 29930.25
615 196.11 -3 150 29936.250000000004
616 195.77 -5 150 29885.25
617 195.94 -3 150 29910.75
618 196.28 -1 150 29961.75
619 196.22 1 100 29952.75
620 196.07 1 50 29937.75
621 196.09 1 0 29938.75
622 196.1 1 0 29938.75
623 195.9 -3 50 29938.75
624 195.89 -5 100 29938.25
625 196.14 -1 150 29963.249999999996
626 196.26 1 100 29981.25
627 196.28 5 50 29983.25
628 195.72 1 0 29955.25
629 195.64 -3 50 29955.25
630 195.6 -5 100 29953.25
631 195.55 -5 150 29948.25
632 195.45 -5 150 29933.25
633 195.15 -3 150 29888.25
634 195 -5 150 29865.75
635 194.8 -5 150 29835.75
636 194.5 -5 150 29790.75
637 194.66 -3 150 29814.75
638 193.65 -1 150 29663.25
639 193.92 -3 150 29703.749999999996
640 193.21 -5 150 29597.25
641 193.29 -3 150 29609.25
642 193.46 -1 150 29634.75
643 193.58 1 100 29652.75
644 193.63 3 50 29657.75
645 193.8 5 0 29666.25
646 193.82 5 0 29666.25
647 194.14 5 0 29666.25
648 193.97 3 0 29666.25
649 193.7 1 0 29666.25
650 194.05 -3 50 29666.25
651 194.14 1 0 29670.75
652 193.83 1 0 29670.75
653 193.9 1 0 29670.75
654 193.93 1 0 29670.75
655 193.81 -3 50 29670.75
656 193.87 -3 100 29673.75
657 193.725 -3 150 29659.25
658 193.76 -3 150 29664.5
659 193.73 -3 150 29660.0
660 193.85 1 100 29678.0
661 193.6 1 50 29653.0
662 193.28 -1 100 29637.0
663 193.66 -3 150 29675.0
664 194.02 1 100 29729.0
665 194.42 3 50 29769.0
666 194.29 3 0 29762.5
667 194.29 1 0 29762.5
668 194.29 -1 50 29762.5
669 194.41 3 0 29768.5
670 194.66 1 0 29768.5
671 194.49 3 0 29768.5
672 194.33 1 0 29768.5
673 194.08 -1 50 29768.5
674 193.9 -5 100 29759.5
675 193.67 -5 150 29736.499999999996
676 193.96 -3 150 29780.0
677 194.09 1 100 29799.5
678 194.005 1 50 29791.0
679 194.31 3 0 29806.25
680 194.47 5 0 29806.25
681 194.52 5 0 29806.25
682 194.32 1 0 29806.25
683 194.35 1 0 29806.25
684 194.27 -3 50 29806.25
685 194.24 -5 100 29804.75
686 194.3 -3 150 29810.75
687 194.42 1 100 29828.75
688 194.39 3 50 29825.75
689 193.87 1 0 29799.75
690 193.7 -3 50 29799.75
691 193.96 -3 100 29812.75
692 194.16 1 50 29832.75
693 194.07 1 0 29828.25
694 193.94 1 0 29828.25
695 194.05 -1 50 29828.25
696 194.11 -1 100 29831.25
697 194.16 3 50 29836.25
698 194.4 3 0 29848.25
699 194.41 5 0 29848.25
700 194.3 1 0 29848.25
701 194.43 1 0 29848.25
702 194.11 1 0 29848.25
703 193.35 -1 50 29848.25
704 193.8 -3 100 29870.75
705 193.7 -3 150 29860.75
706 193.62 -3 150 29848.75
707 193.72 -1 150 29863.75
708 193.37 1 100 29811.25
709 193.13 -3 150 29787.25
710 193.35 -3 150 29820.25
711 193.96 -1 150 29911.75
712 193.92 1 100 29905.75
713 193.82 1 50 29895.75
714 194.3 3 0 29919.75
715 193.72 3 0 29919.75
716 193.82 1 0 29919.75
717 193.8 -3 50 29919.75
718 194.04 1 0 29931.75
719 194.21 3 0 29931.75
720 194.51 5 0 29931.75
721 194.79 5 0 29931.75
722 194.61 3 0 29931.75
723 194.8 3 0 29931.75
724 194.78 3 0 29931.75
725 194.83 5 0 29931.75
726 194.66 1 0 29931.75
727 194.58 -3 50 29931.75
728 194.45 -5 100 29925.25
729 194.41 -5 150 29921.25
730 194.56 -1 150 29943.75
731 194.72 1 100 29967.75
732 194.99 3 50 29994.75
733 195.07 5 0 29998.75
734 194.89 1 0 29998.75
735 195.31 3 0 29998.75
736 195.59 5 0 29998.75
737 195.5 3 0 29998.75
738 195.39 1 0 29998.75
739 195.255 -1 50 29998.75
740 195.42 -3 100 30007.0
741 195.2 -1 150 29985.0
742 195.205 -3 150 29985.750000000004
743 195.575 -1 150 30041.25
744 195.3 3 100 30000.0
745 195.29 1 50 29999.0
746 195.35 1 0 30002.0
747 195.73 1 0 30002.0
748 195.45 3 0 30002.0
749 195.35 1 0 30002.0
750 195.4 -1 50 30002.0
751 195.59 -1 100 30011.5
752 195.55 1 50 30007.5
753 195.86 3 0 30023.0
754 195.88 5 0 30023.0
755 195.88 5 0 30023.0
756 195.68 1 0 30023.0
757 195.75 -1 50 30023.0
758 195.81 -1 100 30026.0
759 195.77 -1 150 30022.0
