time stock-price decision number-of-stocks portfolio-value
570 195.74 -3 50 30000.0
571 195.64 1 0 29995.0
572 196.26 5 0 29995.0
573 196.6 9 0 29995.0
574 196.59 7 0 29995.0
575 196.91 9 0 29995.0
576 196.88 7 0 29995.0
577 196.74 5 0 29995.0
578 196.835 5 0 29995.0
579 197.58 -5 50 29995.0
580 198.205 -1 100 30026.25
581 198.24 5 50 30029.75
582 198.63 7 0 30049.25
583 198.97 9 0 30049.25
584 198.75 7 0 30049.25
585 198.94 7 0 30049.25
586 199.06 7 0 30049.25
587 199.32 7 0 30049.25
588 199.71 5 0 30049.25
589 199.7 7 0 30049.25
590 199.76 9 0 30049.25
591 199.68 7 0 30049.25
592 199.42 3 0 30049.25
593 199.39 -1 50 30049.25
594 199.34 -3 100 30046.75
595 199.18 -5 150 30030.75
596 198.85 -3 150 29981.25
597 198.88 -7 150 29985.75
598 199.09 -5 150 30017.25
599 199.2 -3 150 30033.75
600 199.3 -1 150 30048.75
601 199.63 1 100 30098.25
602 199.61 3 50 30096.25
603 199.54 5 0 30092.75
604 199.65 5 0 30092.75
605 199.78 7 0 30092.75
606 199.44 5 0 30092.75
607 199.52 3 0 30092.75
608 199.4 3 0 30092.75
609 199.35 -3 50 30092.75
610 199.33 -9 100 30091.75
611 199.32 -9 150 30090.75
612 199.43 -5 150 30107.25
613 199.52 -1 150 30120.75
614 199.445 1 100 30109.5
615 199.3 5 50 30095.0
616 199.42 -1 100 30101.0
617 199.52 -5 150 30111.0
618 199.94 -3 150 30174.0
619 199.79 5 100 30151.5
620 199.58 5 50 30130.5
621 199.55 3 0 30129.0
622 199.75 1 0 30129.0
623 199.76 3 0 30129.0
624 199.4 5 0 30129.0
625 199.315 1 0 30129.0
626 199.425 -7 50 30129.0
627 199.42 -5 100 30128.75
628 199.38 -5 150 30124.75
629 199.51 -3 150 30144.25
630 199.63 -3 150 30162.25
631 199.53 3 100 30147.25
632 199.66 3 50 30160.25
633 199.63 7 0 30158.75
634 199.67 7 0 30158.75
635 199.7 9 0 30158.75
636 199.67 7 0 30158.75
637 199.76 5 0 30158.75
638 199.885 -3 50 30158.75
639 199.88 7 0 30158.5
640 199.86 5 0 30158.5
641 199.85 3 0 30158.5
642 199.82 1 0 30158.5
643 199.83 1 0 30158.5
644 199.89 -1 50 30158.5
645 199.89 1 0 30158.5
646 199.91 1 0 30158.5
647 199.89 5 0 30158.5
648 199.91 1 0 30158.5
649 199.96 -1 50 30158.5
650 199.93 7 0 30157.0
651 199.79 5 0 30157.0
652 199.92 -7 50 30157.0
653 200.05 -5 100 30163.5
654 200.19 -1 150 30177.5
655 200.14 5 100 30170.0
656 200.23 3 50 30179.0
657 200.1 7 0 30172.5
658 200.06 1 0 30172.5
659 200.04 -1 50 30172.5
660 200.1 -1 100 30175.5
661 200.13 -1 150 30178.5
662 199.99 5 100 30157.5
663 199.82 3 50 30140.5
664 199.91 -7 100 30145.0
665 200.08 -5 150 30162.000000000004
666 199.97 -3 150 30145.5
667 200.11 -3 150 30166.500000000004
668 200.1 1 100 30165.0
669 200.05 3 50 30160.0
670 199.98 3 0 30156.5
671 200.08 -1 50 30156.5
672 199.73 5 0 30139.0
673 199.74 -1 50 30139.0
674 199.65 -5 100 30134.5
675 199.62 -9 150 30131.5
676 199.63 -7 150 30133.0
677 199.5 -9 150 30113.5
678 199.4 -9 150 30098.5
679 199.475 -7 150 30109.75
680 199.6 -5 150 30128.5
681 199.62 -1 150 30131.5
682 199.63 1 100 30133.0
683 199.28 5 50 30098.0
684 199.07 1 0 30087.5
685 199.36 -7 50 30087.5
686 199.35 -5 100 30087.0
687 199.28 -5 150 30080.0
688 199.02 3 100 30041.0
689 199.03 -3 150 30042.0
690 198.96 -5 150 30031.5
691 199.26 -5 150 30076.5
692 199.2 -3 150 30067.5
693 198.99 5 100 30036.0
694 198.77 3 50 30014.0
695 198.91 -7 100 30021.0
696 198.9 -7 150 30020.0
697 199.06 -3 150 30044.0
698 199.01 -1 150 30036.5
699 199.05 1 100 30042.5
700 199.13 1 50 30050.5
701 199.03 7 0 30045.5
702 199.07 5 0 30045.5
703 199.07 3 0 30045.5
704 199.1 3 0 30045.5
705 199.13 1 0 30045.5
706 199.2 1 0 30045.5
707 199.17 7 0 30045.5
708 199 5 0 30045.5
709 198.91 1 0 30045.5
710 198.89 -3 50 30045.5
711 198.77 -3 100 30039.5
712 198.72 -7 150 30034.5
713 198.77 -7 150 30042.0
714 198.79 -5 150 30045.0
715 198.78 -3 150 30043.5
716 198.49 5 100 30000.0
717 198.48 -1 150 29999.0
718 198.55 -5 150 30009.5
719 198.52 -5 150 30005.0
720 198.67 -3 150 30027.499999999996
721 198.73 1 100 30036.5
722 198.865 1 50 30050.0
723 198.82 3 0 30047.75
724 198.765 5 0 30047.75
725 198.89 5 0 30047.75
726 198.92 7 0 30047.75
727 198.87 7 0 30047.75
728 198.97 1 0 30047.75
729 198.9 7 0 30047.75
730 198.98 1 0 30047.75
731 198.92 7 0 30047.75
732 198.82 5 0 30047.75
733 198.755 -1 50 30047.75
734 198.77 -3 100 30048.5
735 198.6 -1 150 30031.5
736 198.58 -7 150 30028.500000000004
737 198.51 -9 150 30018.0
738 198.45 -9 150 30009.0
739 198.61 -5 150 30033.000000000004
740 198.61 -5 150 30033.000000000004
741 198.52 -1 150 30019.5
742 198.57 -1 150 30027.0
743 198.49 1 100 30015.0
744 198.49 1 50 30015.0
745 198.66 -5 100 30023.5
746 198.73 -1 150 30030.5
747 198.66 5 100 30020.0
748 198.69 5 50 30023.0
749 198.84 -1 100 30030.5
750 198.725 7 50 30019.0
751 198.66 5 0 30015.75
752 198.71 3 0 30015.75
753 198.61 1 0 30015.75
754 198.67 -5 50 30015.75
755 198.63 -3 100 30013.75
756 198.73 -3 150 30023.75
757 198.73 -1 150 30023.75
758 198.82 1 100 30037.25
759 198.82 5 50 30037.25
760 198.9 5 0 30041.25
761 198.875 7 0 30041.25
762 198.89 7 0 30041.25
763 198.81 3 0 30041.25
764 198.81 3 0 30041.25
765 198.65 1 0 30041.25
766 198.63 -3 50 30041.25
767 198.81 -5 100 30050.25
768 198.86 -3 150 30055.250000000004
769 198.96 -1 150 30070.25
770 199 3 100 30076.25
771 198.95 7 50 30071.25
772 198.86 3 0 30066.75
773 198.855 1 0 30066.75
774 198.89 1 0 30066.75
775 198.95 -1 50 30066.75
776 198.92 -1 100 30065.25
777 198.82 5 50 30055.25
778 198.805 1 0 30054.5
779 198.76 -1 50 30054.5
780 198.57 -1 100 30045.0
781 198.6 -5 150 30048.0
782 198.63 -5 150 30052.5
783 198.63 -5 150 30052.5
784 198.43 3 100 30022.5
785 198.39 -7 150 30018.499999999996
786 198.4 -7 150 30020.0
787 198.36 -9 150 30014.000000000004
788 198.42 -7 150 30022.999999999996
789 198.44 -3 150 30026.0
790 198.49 -1 150 30033.5
791 198.46 3 100 30029.0
792 198.48 5 50 30031.0
793 198.57 -3 100 30035.5
794 198.48 7 50 30026.5
795 198.45 5 0 30025.0
796 198.48 1 0 30025.0
797 198.37 3 0 30025.0
798 198.355 -3 50 30025.0
799 198.44 -5 100 30029.25
800 198.45 -3 150 30030.25
801 198.28 5 100 30004.75
802 198.29 -1 150 30005.75
803 198.3 -5 150 30007.25
804 198.26 -7 150 30001.25
805 198.27 -7 150 30002.75
806 198.245 -7 150 29999.0
807 198.28 -7 150 30004.25
808 198.215 3 100 29994.5
809 198.27 -7 150 30000.0
810 198.43 -5 150 30024.0
811 198.32 7 100 30007.5
812 198.48 -3 150 30023.5
813 198.42 7 100 30014.5
814 198.355 5 50 30008.0
815 198.39 3 0 30009.75
816 198.37 3 0 30009.75
817 198.37 -1 50 30009.75
818 198.26 3 0 30004.25
819 198.28 -3 50 30004.25
820 198.22 -7 100 30001.25
821 198.28 -7 150 30007.25
822 198.11 5 100 29981.75
823 198.23 -7 150 29993.75
824 198.26 -5 150 29998.25
825 198.3 -3 150 30004.25
826 198.29 1 100 30002.75
827 198.1 5 50 29983.75
828 198.09 1 0 29983.25
829 198.32 -5 50 29983.25
830 198.33 -3 100 29983.75
831 198.48 -1 150 29998.75
832 198.44 3 100 29992.75
833 198.465 5 50 29995.25
834 198.56 5 0 30000.0
835 198.5 7 0 30000.0
836 198.53 7 0 30000.0
837 198.61 5 0 30000.0
838 198.55 7 0 30000.0
839 198.56 7 0 30000.0
840 198.74 -5 50 30000.0
841 198.81 1 0 30003.5
842 198.9 3 0 30003.5
843 198.84 7 0 30003.5
844 198.74 5 0 30003.5
845 198.65 1 0 30003.5
846 198.73 -1 50 30003.5
847 198.685 -3 100 30001.25
848 198.74 -5 150 30006.75
849 198.82 -1 150 30018.75
850 198.87 1 100 30026.25
851 198.92 3 50 30031.25
852 198.92 5 0 30031.25
853 198.92 5 0 30031.25
854 198.92 5 0 30031.25
855 198.92 5 0 30031.25
856 198.92 5 0 30031.25
857 198.92 5 0 30031.25
858 198.92 5 0 30031.25
859 198.92 5 0 30031.25
860 198.92 5 0 30031.25
861 198.92 5 0 30031.25
862 198.92 5 0 30031.25
863 198.92 5 0 30031.25
864 198.92 5 0 30031.25
865 198.92 5 0 30031.25
866 198.92 5 0 30031.25
867 198.92 5 0 30031.25
868 198.92 5 0 30031.25
869 198.92 5 0 30031.25
870 198.92 5 0 30031.25
871 198.73 5 0 30031.25
872 198.83 1 0 30031.25
873 198.79 -1 50 30031.25
874 198.88 -3 100 30035.75
875 198.825 -1 150 30030.25
876 198.8 1 100 30026.5
877 198.86 -3 150 30032.500000000004
878 198.93 -3 150 30043.0
879 198.93 -3 150 30043.0
880 198.89 5 100 30037.0
881 198.87 5 50 30035.0
882 198.87 5 0 30035.0
883 198.91 3 0 30035.0
884 198.87 5 0 30035.0
885 198.87 5 0 30035.0
886 198.89 1 0 30035.0
