time stock-price decision number-of-stocks portfolio-value
887 198.93 -5 50 30035.0
888 198.98 -3 100 30037.5
889 198.97 3 50 30036.5
890 198.97 3 0 30036.5
891 198.85 5 0 30036.5
892 198.805 1 0 30036.5
893 198.81 -1 50 30036.5
894 198.76 -5 100 30034.0
895 198.75 -7 150 30033.0
896 198.85 -5 150 30048.0
897 198.84 -3 150 30046.5
898 198.9 -1 150 30055.5
899 198.88 3 100 30052.5
900 198.83 5 50 30047.5
901 198.89 1 0 30050.5
902 198.95 -3 50 30050.5
903 198.97 3 0 30051.5
904 198.91 5 0 30051.5
905 198.87 3 0 30051.5
906 198.88 1 0 30051.5
907 198.885 1 0 30051.5
908 198.75 5 0 30051.5
909 198.76 -3 50 30051.5
910 198.84 -5 100 30055.5
911 198.79 -5 150 30050.5
912 198.83 -3 150 30056.500000000004
913 198.79 -1 150 30050.5
914 198.74 3 100 30043.0
915 198.55 3 50 30024.0
916 198.53 -3 100 30023.0
917 198.68 -5 150 30038.0
918 198.68 -5 150 30038.0
919 198.71 -1 150 30042.5
920 198.7 1 100 30041.0
921 198.54 5 50 30025.0
922 198.655 -3 100 30030.75
923 198.59 -1 150 30024.25
924 198.63 -3 150 30030.25
925 198.66 -3 150 30034.75
926 198.63 1 100 30030.25
927 198.62 1 50 30029.25
928 198.67 -3 100 30031.75
929 198.65 5 50 30029.75
930 198.65 5 0 30029.75
931 198.44 5 0 30029.75
932 198.36 1 0 30029.75
933 198.45 -7 50 30029.75
934 198.47 -3 100 30030.75
935 198.49 -1 150 30032.75
936 198.67 -1 150 30059.749999999996
937 198.59 1 100 30047.75
938 198.35 5 50 30023.75
939 198.41 3 0 30026.75
940 198.42 1 0 30026.75
941 198.5 -3 50 30026.75
942 198.44 -3 100 30023.75
943 198.35 3 50 30014.75
944 198.42 -5 100 30018.25
945 198.42 -5 150 30018.249999999996
946 198.49 -5 150 30028.75
947 198.51 -1 150 30031.75
948 198.4 5 100 30015.25
949 198.4 5 50 30015.25
950 198.305 3 0 30010.5
951 198.16 1 0 30010.5
952 198.16 1 0 30010.5
953 198.34 -7 50 30010.5
954 198.17 -1 100 30002.0
955 198.18 -5 150 30003.0
956 198.18 -5 150 30003.0
957 198.22 -5 150 30009.0
958 198.45 -3 150 30043.5
959 198.5 -1 150 30051.0
