time stock-price decision number-of-stocks portfolio-value
570 199.34 -3 50 30000.0
571 199.16 5 0 29991.0
572 199.16 7 0 29991.0
573 198.88 3 0 29991.0
574 198.79 1 0 29991.0
575 198.5 -1 50 29991.0
576 198.77 -3 100 30004.5
577 198.16 1 50 29943.5
578 198.55 -7 100 29963.0
579 198.45 -7 150 29953.0
580 198.44 -7 150 29951.5
581 198.18 -1 150 29912.5
582 198.28 -5 150 29927.5
583 198.35 -5 150 29938.0
584 198.14 -1 150 29906.499999999996
585 198.14 -3 150 29906.499999999996
586 197.94 1 100 29876.5
587 198.23 -7 150 29905.5
588 198.405 -3 150 29931.75
589 198.47 1 100 29941.5
590 198.28 5 50 29922.5
591 198.33 5 0 29925.0
592 198.36 5 0 29925.0
593 198.29 1 0 29925.0
594 198.17 3 0 29925.0
595 198.03 1 0 29925.0
596 198.09 -7 50 29925.0
597 198.33 -5 100 29937.0
598 198.32 -3 150 29936.0
599 198.39 1 100 29946.5
600 198.38 3 50 29945.5
601 198.17 5 0 29935.0
602 198.25 1 0 29935.0
603 198.01 1 0 29935.0
604 198.42 -7 50 29935.0
605 198.43 -1 100 29935.5
606 198.505 1 50 29943.0
607 198.46 3 0 29940.75
608 198.39 5 0 29940.75
609 198.2 3 0 29940.75
610 198.19 -1 50 29940.75
611 198.135 -5 100 29938.0
612 198.17 -5 150 29941.499999999996
613 198.16 -7 150 29940.0
614 198.28 -3 150 29958.0
615 198.285 1 100 29958.75
616 198.12 5 50 29942.25
617 198.05 3 0 29938.75
618 198.2 -5 50 29938.75
619 198.28 -3 100 29942.75
620 198.3 -1 150 29944.75
621 198.31 3 100 29946.25
622 198.33 5 50 29948.25
623 198.28 5 0 29945.75
624 198.25 3 0 29945.75
625 198.18 1 0 29945.75
626 198.215 -3 50 29945.75
627 198.235 -5 100 29946.75
628 198.25 -3 150 29948.25
629 198.3 -1 150 29955.75
630 198.43 -1 150 29975.25
631 198.46 3 100 29979.75
632 198.43 7 50 29976.75
633 198.29 5 0 29969.75
634 198.26 1 0 29969.75
635 198.39 -1 50 29969.75
636 198.34 -1 100 29967.25
637 198.32 -3 150 29965.25
638 198.39 -1 150 29975.749999999996
639 198.36 -1 150 29971.250000000004
640 198.35 3 100 29969.75
641 198.36 1 50 29970.75
642 198.38 3 0 29971.75
643 198.34 5 0 29971.75
644 198.45 -5 50 29971.75
645 198.465 1 0 29972.5
646 198.5 3 0 29972.5
647 198.44 7 0 29972.5
648 198.3 3 0 29972.5
649 198.36 1 0 29972.5
650 198.53 -5 50 29972.5
651 198.68 -3 100 29980.0
652 198.66 1 50 29978.0
653 198.56 5 0 29973.0
654 198.66 3 0 29973.0
655 198.58 5 0 29973.0
656 198.44 5 0 29973.0
657 198.44 -3 50 29973.0
658 198.35 -5 100 29968.5
659 198.48 -7 150 29981.5
660 198.43 -3 150 29974.0
661 198.55 -3 150 29992.0
662 198.59 1 100 29998.0
663 198.49 3 50 29988.0
664 198.5 5 0 29988.5
665 198.65 -5 50 29988.5
666 198.66 5 0 29989.0
667 198.53 5 0 29989.0
668 198.48 3 0 29989.0
669 198.45 1 0 29989.0
670 198.41 -3 50 29989.0
671 198.51 -5 100 29994.0
672 198.53 -3 150 29996.0
673 198.61 -1 150 30008.000000000004
674 198.52 3 100 29994.5
675 198.54 3 50 29996.5
676 198.54 3 0 29996.5
677 198.54 1 0 29996.5
678 198.45 5 0 29996.5
679 198.44 -3 50 29996.5
680 198.51 -5 100 30000.0
681 198.5 -5 150 29999.0
682 198.51 -3 150 30000.5
683 198.51 -1 150 30000.5
684 198.57 1 100 30009.5
685 198.505 7 50 30003.0
686 198.42 3 0 29998.75
687 198.48 -3 50 29998.75
688 198.38 1 0 29993.75
689 198.55 -7 50 29993.75
690 198.51 -3 100 29991.75
691 198.53 -1 150 29993.75
692 198.48 3 100 29986.25
693 198.45 1 50 29983.25
694 198.37 -1 100 29979.25
695 198.35 -3 150 29977.25
696 198.19 -1 150 29953.25
697 198.25 -7 150 29962.25
698 198.25 -7 150 29962.25
699 198.28 -3 150 29966.75
700 198.27 -3 150 29965.25
701 198.3 1 100 29969.75
702 198.31 3 50 29970.75
703 198.33 5 0 29971.75
704 198.3 7 0 29971.75
705 198.22 3 0 29971.75
706 198.21 -1 50 29971.75
707 198.18 -3 100 29970.25
708 198.175 -7 150 29969.75
709 198.12 -7 150 29961.5
710 198.08 -9 150 29955.500000000004
711 198.01 -9 150 29945.0
712 198.11 -7 150 29960.000000000004
713 198.19 -3 150 29972.0
714 198.085 1 100 29956.25
715 198.14 -1 150 29961.749999999996
716 198.15 1 100 29963.25
717 198.19 1 50 29967.25
718 198.21 3 0 29968.25
719 198.2 7 0 29968.25
720 198.27 3 0 29968.25
721 198.1 5 0 29968.25
722 198.12 3 0 29968.25
723 198.135 -1 50 29968.25
724 198.16 -3 100 29969.5
725 198.11 -1 150 29964.500000000004
726 198.11 -3 150 29964.500000000004
727 198.11 -5 150 29964.500000000004
728 198.13 -3 150 29967.5
729 198.015 5 100 29950.25
730 198.02 -3 150 29950.75
731 198.1 -5 150 29962.75
732 198.07 -5 150 29958.25
733 198.065 -5 150 29957.5
734 198.08 -1 150 29959.750000000004
735 198.1 1 100 29962.75
736 198.11 3 50 29963.75
737 198.14 3 0 29965.25
738 198.21 -1 50 29965.25
739 198.25 3 0 29967.25
740 198.21 7 0 29967.25
741 198.19 5 0 29967.25
742 198.21 3 0 29967.25
743 198.23 5 0 29967.25
744 198.32 -3 50 29967.25
745 198.335 1 0 29968.0
746 198.31 7 0 29968.0
747 198.18 3 0 29968.0
748 198.16 1 0 29968.0
749 198.12 -1 50 29968.0
750 198.06 -3 100 29965.0
751 198.1 -7 150 29969.0
752 198.16 -5 150 29978.0
753 198.15 -3 150 29976.5
754 198.07 1 100 29964.5
755 198.12 -3 150 29969.5
756 198.11 -3 150 29968.000000000004
757 198.1 -1 150 29966.5
758 198.03 3 100 29956.0
759 198.05 -5 150 29958.0
760 198.04 -7 150 29956.5
761 198.01 -7 150 29952.0
762 198.05 -7 150 29958.0
763 198.08 -3 150 29962.500000000004
764 198.07 1 100 29961.0
765 198.08 3 50 29962.0
766 198.07 3 0 29961.5
767 198.09 3 0 29961.5
768 198.09 5 0 29961.5
769 198.14 -3 50 29961.5
770 198.14 5 0 29961.5
771 198.14 7 0 29961.5
772 198.085 5 0 29961.5
773 198.05 1 0 29961.5
774 198.075 -1 50 29961.5
775 198.12 -5 100 29963.75
776 198.1 -3 150 29961.75
777 198.06 5 100 29955.75
778 198.07 -3 150 29956.75
779 198.09 -5 150 29959.75
780 198.02 5 100 29949.25
781 198.03 -3 150 29950.25
782 198.06 -5 150 29954.75
783 198.09 -3 150 29959.25
784 198.03 5 100 29950.25
785 198.03 5 50 29950.25
786 198.09 -5 100 29953.25
787 198.02 7 50 29946.25
788 197.83 3 0 29936.75
