time-hour stock-price avg-price-3-min avg-price-5-min average-volume current-volume number-of-stocks portfolio-value 
959 194.74 194.32750000000001 194.03000000000003 10431.666666666666 13864 0 29982.125
570 195 194.5 194.17900000000003 4603.333333333333 953 0 30000
571 194.78 194.6825 194.31900000000002 3010.0 300 0 30000.0
572 194.89 194.89 194.53400000000002 551.0 400 0 30000.0
573 194.71 194.77249999999998 194.71 433.3333333333333 600 0 30000.0
574 194.84 194.82 194.844 1064.3333333333333 2193 0 30000.0
575 195.04 194.9075 194.852 1185.0 762 0 30000.0
576 195.15 195.04500000000002 194.92600000000002 2076.0 3273 0 30000.0
577 195.62 195.35750000000002 195.072 2704.0 4077 25 30000.0
578 195.8 195.5925 195.29 3492.6666666666665 3128 25 30004.5
579 195.71 195.71 195.464 2634.0 697 25 30002.25
580 195.87 195.8125 195.63 2127.3333333333335 2557 50 30006.25
581 195.94 195.865 195.788 1969.6666666666667 2655 75 30009.75
582 195.92 195.9125 195.848 2222.6666666666665 1456 75 30008.25
583 196.18 196.055 195.92399999999998 2187.3333333333335 2451 100 30027.75
584 196.34 196.195 196.05 2955.6666666666665 4960 125 30043.75
585 196.51 196.385 196.178 4339.333333333333 5607 150 30065.0
586 196.57 196.4975 196.304 4202.333333333333 2040 150 30074.0
587 196.19 196.365 196.358 3173.6666666666665 1874 150 30017.0
588 196.3 196.34 196.382 2159.0 2563 150 30033.5
589 196.29 196.26749999999998 196.372 2075.6666666666665 1790 0 30032.0
590 196.17 196.23250000000002 196.304 2234.0 2349 0 30032.0
591 196.34 196.285 196.258 1530.0 451 0 30032.0
592 196.32 196.2875 196.28400000000002 1046.6666666666667 340 0 30032.0
593 196.5 196.415 196.324 545.6666666666666 846 0 30032.0
594 196.385 196.39749999999998 196.34300000000002 725.3333333333334 990 0 30032.0
595 196.57 196.50625 196.42300000000003 992.3333333333334 1141 25 30032.0
596 196.42 196.44875 196.439 1079.3333333333333 1107 50 30028.25
597 196.62 196.5575 196.499 1149.3333333333333 1200 75 30038.25
598 196.46 196.49 196.491 1141.0 1116 75 30026.25
599 196.535 196.53750000000002 196.52100000000002 2151.3333333333335 4138 100 30031.875
600 196.545 196.52125 196.516 9454.333333333334 23109 0 30032.875
601 196.27 196.405 196.48600000000005 11473.0 7172 0 30032.875
602 196.39 196.39875 196.44 10327.333333333334 701 0 30032.875
603 196.18 196.255 196.38400000000001 3344.3333333333335 2160 0 30032.875
604 196.26 196.27249999999998 196.329 1260.6666666666667 921 0 30032.875
605 196.39 196.305 196.298 1600.3333333333333 1720 0 30032.875
606 196.21 196.26749999999998 196.286 1387.3333333333333 1521 0 30032.875
607 196.11 196.205 196.23 1928.3333333333333 2544 0 30032.875
608 195.95 196.055 196.18400000000003 2332.6666666666665 2933 0 30032.875
609 196.07 196.05 196.14600000000002 3704.0 5635 0 30032.875
610 196.23 196.12 196.114 3759.0 2709 0 30032.875
611 196.21 196.18 196.11400000000003 3288.3333333333335 1521 0 30032.875
612 196.31 196.265 196.154 1804.0 1182 0 30032.875
613 196.25 196.255 196.214 1135.3333333333333 703 0 30032.875
614 196.14 196.20999999999998 196.228 998.0 1109 0 30032.875
